,url,type,species,age,gender,size,coat,name,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.house_trained,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,primary_photo_cropped.full,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,animal_id,search_address,search_city,search_state
328,https://www.petfinder.com/dog/sir-52318971/ca/san-pedro/city-of-los-angeles-harbor-animal-shelter-ca768/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Small,0,SIR,2021-07-12T00:42:15+0000,357.2106,Mixed Breed,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318971/1/?bust=1626051149,957 North Gaffey St,0,San Pedro,CA,90731,52318971,957+North+Gaffey+St,+San+Pedro,+CA
329,https://www.petfinder.com/dog/chico-52318969/ca/san-pedro/city-of-los-angeles-harbor-animal-shelter-ca768/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Male,Small,0,CHICO,2021-07-12T00:42:15+0000,357.2106,Mixed Breed,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318969/1/?bust=1626051151,957 North Gaffey St,0,San Pedro,CA,90731,52318969,957+North+Gaffey+St,+San+Pedro,+CA
330,https://www.petfinder.com/dog/troy-52318975/ca/san-pedro/city-of-los-angeles-harbor-animal-shelter-ca768/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Medium,0,TROY,2021-07-12T00:42:15+0000,357.2106,Mixed Breed,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318975/1/?bust=1626051147,957 North Gaffey St,0,San Pedro,CA,90731,52318975,957+North+Gaffey+St,+San+Pedro,+CA
331,https://www.petfinder.com/dog/sunshine-52318962/az/phoenix/mcacc-west-valley-animal-care-center-az101/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Female,Large,0,SUNSHINE,2021-07-12T00:42:12+0000,2.0004,Pit Bull Terrier,Beagle,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318962/1/?bust=1626051151,2500 S. 27th Avenue,(27th and Durango),Phoenix,AZ,85009,52318962,2500+S.+27th+Avenue,+Phoenix,+AZ
332,https://www.petfinder.com/dog/argos-52318964/az/phoenix/mcacc-west-valley-animal-care-center-az101/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Large,0,ARGOS,2021-07-12T00:42:12+0000,2.0004,Pit Bull Terrier,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318964/1/?bust=1626051146,2500 S. 27th Avenue,(27th and Durango),Phoenix,AZ,85009,52318964,2500+S.+27th+Avenue,+Phoenix,+AZ
333,https://www.petfinder.com/dog/bethany-52318965/az/phoenix/mcacc-west-valley-animal-care-center-az101/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Baby,Female,Large,0,BETHANY,2021-07-12T00:42:12+0000,2.0004,Australian Shepherd,Mixed Breed,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318965/1/?bust=1626051147,2500 S. 27th Avenue,(27th and Durango),Phoenix,AZ,85009,52318965,2500+S.+27th+Avenue,+Phoenix,+AZ
334,https://www.petfinder.com/dog/baker-52318966/az/phoenix/mcacc-west-valley-animal-care-center-az101/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Male,Large,0,BAKER,2021-07-12T00:42:12+0000,2.0004,Pit Bull Terrier,Mixed Breed,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318966/1/?bust=1626051147,2500 S. 27th Avenue,(27th and Durango),Phoenix,AZ,85009,52318966,2500+S.+27th+Avenue,+Phoenix,+AZ
335,https://www.petfinder.com/dog/maestro-52318963/az/phoenix/mcacc-west-valley-animal-care-center-az101/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Male,Large,0,MAESTRO,2021-07-12T00:42:12+0000,2.0004,Pit Bull Terrier,Mixed Breed,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318963/1/?bust=1626051145,2500 S. 27th Avenue,(27th and Durango),Phoenix,AZ,85009,52318963,2500+S.+27th+Avenue,+Phoenix,+AZ
336,https://www.petfinder.com/dog/snoopy-52318968/ca/pasadena/pasadena-humane-ca15/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Medium,0,SNOOPY,2021-07-12T00:42:12+0000,350.723,Border Terrier,Mixed Breed,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318968/1/?bust=1626051141,0,0,Pasadena,CA,91105,52318968,0,+Pasadena,+CA
337,https://www.petfinder.com/dog/dog-52318952/ca/riverside/riverside-county-animal-services-ca1527/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Small,0,Dog,2021-07-12T00:42:11+0000,310.7364,Pomeranian,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318952/1/?bust=1626051142,0,0,Riverside,CA,92504,52318952,0,+Riverside,+CA
